avgTemp,minTemp,naxTemp,rainFall,-1dayPrice,avgPrice
8.8,1.1,17.3,0.0,1780,1780
11.9,5.7,18.4,0.0,1780,1780
13.2,8.7,19.3,0.8,1780,1780
12.1,7.1,18.5,1.7,1740,1780
8.0,3.5,13.6,11.5,1700,1740
7.5,1.3,15.7,0.0,1700,1700
9.7,2.4,18.1,0.0,1700,1700
13.6,6.6,19.7,0.5,1720,1700
14.0,7.4,19.5,0.2,1720,1720
9.3,2.9,17.6,0.0,1720,1720
11.6,4.5,19.3,2.4,1720,1720
6.9,1.9,12.2,0.0,1720,1720
5.8,-0.3,13.8,0.0,1700,1720
8.3,1.5,14.6,1.0,1680,1700
9.3,4.1,14.5,0.2,1660,1680
5.5,1.2,10.4,0.1,1660,1660
3.2,-1.5,9.4,0.0,1660,1660
5.3,-1.9,10.9,0.3,1660,1660
2.3,-1.9,7.8,0.8,1640,1660
1.0,-3.7,5.6,0.9,1580,1640
3.1,-1.4,8.3,0.3,1600,1580
3.0,-2.7,10.3,0.3,1640,1600
5.5,0.3,10.7,0.5,1640,1640
2.5,-1.7,6.8,1.0,1640,1640
2.1,-1.9,6.9,1.2,1580,1640
4.2,-3.1,10.3,7.4,1600,1580
6.5,0.8,12.6,2.6,1600,1600
4.1,-1.6,11.7,0.0,1600,1600
7.6,1.0,14.6,0.3,1600,1600
7.7,3.3,12.3,1.1,1600,1600
2.4,-1.7,6.8,4.8,1600,1600
-0.5,-5.1,4.8,0.1,1640,1600
1.3,-4.8,8.0,0.1,1680,1640
4.4,-1.7,11.0,1.0,1680,1680
2.3,-2.5,7.0,0.7,1760,1680
-2.1,-5.7,2.1,1.4,1780,1760
0.7,-5.1,6.8,1.2,1780,1780
2.7,-1.8,7.8,1.1,1780,1780
-1.1,-4.2,2.5,1.6,1780,1780
0.8,-4.5,6.1,0.2,1780,1780
3.6,-1.0,8.7,2.5,1780,1780
-2.7,-6.3,1.9,0.6,1780,1780
-5.6,-9.4,-1.4,0.4,1780,1780
-4.9,-9.2,0.7,1.1,1780,1780
-3.7,-10.2,3.0,1.0,1780,1780
-0.5,-6.9,5.0,0.1,1780,1780
-1.5,-5.4,2.2,1.1,1760,1780
-4.2,-8.5,0.5,0.6,1760,1760
-0.1,-7.1,5.5,0.5,1760,1760
-1.0,-5.5,3.6,0.2,1760,1760
-1.3,-7.5,4.7,1.1,1760,1760
0.0,-4.7,6.0,0.0,1760,1760
1.7,-4.3,8.5,0.0,1760,1760
3.9,-1.1,11.1,0.0,1760,1760
4.5,1.5,8.5,14.2,1760,1760
0.4,-2.5,3.6,0.3,1760,1760
-0.5,-4.6,4.2,0.3,1760,1760
-3.6,-7.7,0.9,0.5,1760,1760
-1.3,-6.7,3.8,0.0,1760,1760
3.0,-2.2,8.0,0.0,1760,1760
3.0,-1.5,7.2,0.8,1760,1760
2.3,-1.7,5.8,0.6,1340,1760
-0.2,-4.8,5.2,0.0,1760,1340
0.3,-5.2,6.0,0.0,1760,1760
-1.4,-5.0,3.0,1.9,1780,1760
-1.6,-5.5,2.4,1.9,1780,1780
0.0,-3.3,4.7,1.2,1780,1780
-0.5,-5.1,5.6,1.9,1780,1780
0.0,-6.3,4.8,1.2,1780,1780
2.5,0.2,5.1,2.4,1780,1780
-1.2,-3.3,1.7,1.5,1840,1780
-4.3,-7.8,-0.7,3.1,1880,1840
-7.9,-11.0,-4.0,3.1,1880,1880
-8.2,-13.1,-3.3,0.8,1880,1880
-3.2,-8.8,3.0,0.3,1880,1880
-0.1,-7.1,6.8,0.7,1880,1880
4.5,-0.6,11.0,0.2,2000,1880
4.0,-0.5,8.0,10.5,1980,2000
4.4,1.7,7.9,5.1,1980,1980
3.7,0.0,7.9,0.1,1960,1980
1.4,-2.8,7.5,0.0,2000,1960
1.3,-3.9,7.6,0.0,2000,2000
1.3,-3.9,7.5,0.0,2000,2000
3.0,-0.5,7.5,1.4,2020,2000
-6.0,-9.6,1.0,0.2,2020,2020
-10.0,-13.1,-6.1,0.9,1980,2020
-9.4,-13.5,-4.8,0.8,2080,1980
-9.9,-13.6,-5.1,1.1,2100,2080
-6.6,-14.1,0.6,0.1,2100,2100
-2.5,-5.7,2.0,0.3,2100,2100
-5.7,-9.1,-1.5,0.6,2180,2100
-4.5,-11.0,1.3,0.3,2240,2180
-1.0,-5.9,3.8,0.3,2320,2240
-2.0,-7.6,4.4,0.0,2340,2320
-2.3,-8.2,4.4,0.3,2500,2340
-4.4,-7.9,-0.7,0.5,2500,2500
-6.9,-10.3,-2.9,2.5,2500,2500
-7.2,-11.6,-2.5,1.8,2500,2500
-7.8,-12.0,-3.4,2.0,2500,2500
-6.6,-13.1,0.1,1.6,2580,2500
-3.6,-10.9,4.5,5.1,2640,2580
1.5,-6.0,8.5,0.1,2640,2640
1.6,-3.7,7.0,0.7,2640,2640
-3.5,-6.9,0.2,0.7,2640,2640
-3.9,-8.5,0.0,0.7,2580,2640
-0.5,-6.8,5.2,0.2,2560,2580
4.8,-2.7,11.7,0.0,2480,2560
2.2,-2.2,7.7,0.1,2480,2480
1.2,-4.6,7.6,0.0,2480,2480
0.0,-4.1,4.8,0.0,2480,2480
1.1,-4.2,7.0,0.6,2480,2480
3.0,-2.2,9.2,2.1,2340,2480
2.8,-3.8,9.1,0.1,2300,2340
0.6,-3.8,5.4,3.3,2280,2300
0.6,-6.0,7.2,0.3,2180,2280
4.4,-2.6,10.2,1.5,2180,2180
4.6,-0.5,10.9,0.9,2180,2180
4.0,-0.7,10.5,0.2,2180,2180
3.2,-4.0,11.7,0.3,2140,2180
5.1,-2.5,12.3,0.0,2140,2140
5.7,2.4,9.3,30.0,2140,2140
2.8,-1.6,6.7,1.3,2140,2140
1.4,-4.8,8.8,0.0,2140,2140
7.5,-1.2,16.2,0.8,2140,2140
11.7,5.9,17.2,14.9,2140,2140
5.6,2.3,11.6,10.9,2140,2140
4.6,-0.6,11.0,0.0,2100,2140
5.1,1.5,8.9,5.9,2100,2100
3.3,1.2,6.2,17.6,2060,2100
3.5,0.2,7.8,0.8,1980,2060
4.7,-1.2,11.3,0.0,1980,1980
6.3,0.5,13.5,0.0,1980,1980
7.9,-0.4,16.6,0.0,1960,1980
12.1,3.4,19.6,0.0,1940,1960
15.0,7.9,22.0,0.2,1880,1940
12.7,7.9,16.1,24.9,1880,1880
5.2,1.4,10.1,1.0,1860,1880
5.5,-1.1,12.8,0.0,1860,1860
8.1,1.9,13.2,6.5,1860,1860
8.5,5.6,11.5,19.8,1860,1860
5.1,1.7,8.6,2.3,1820,1860
1.8,0.2,3.7,9.2,1820,1820
4.9,0.3,11.4,0.1,1820,1820
6.2,-0.7,13.5,0.0,1680,1820
8.9,1.9,15.9,0.0,1680,1680
10.6,3.8,18.6,0.0,1680,1680
11.8,4.4,19.9,0.0,1600,1680
13.3,5.2,21.1,0.0,1600,1600
14.6,7.1,21.7,0.0,1580,1600
14.2,8.6,21.4,0.0,1540,1580
12.7,7.4,19.3,0.0,1500,1540
13.8,6.3,21.6,0.0,1500,1500
15.5,9.5,21.4,0.0,1500,1500
17.5,11.3,24.1,0.0,1520,1500
17.7,11.6,23.9,1.2,1520,1520
11.5,8.4,16.6,13.9,1400,1520
8.7,7.5,10.2,12.0,1400,1400
7.9,3.9,13.0,16.8,1380,1400
4.8,1.8,8.9,0.7,1380,1380
7.1,0.1,12.4,1.3,1380,1380
10.6,4.9,17.5,0.1,1380,1380
14.8,4.9,21.8,2.7,1360,1380
15.4,9.7,20.8,3.3,1320,1360
13.1,5.3,21.0,0.0,1300,1320
12.7,6.2,18.0,0.1,1280,1300
9.5,7.5,13.1,23.9,1280,1280
10.4,6.4,15.8,0.0,1280,1280
10.7,3.8,17.5,0.1,1280,1280
12.3,6.3,19.6,0.1,1260,1280
12.9,5.3,21.0,0.0,1180,1260
14.7,5.4,23.4,0.0,1180,1180
17.4,8.2,27.1,0.0,1160,1180
18.5,9.7,27.3,0.0,1160,1160
15.8,11.7,21.2,5.7,1160,1160
11.4,10.4,13.6,48.2,1160,1160
11.6,9.1,14.1,12.5,1180,1160
12.9,5.6,20.8,0.6,1200,1180
14.4,6.2,22.5,0.0,1200,1200
14.8,8.3,22.0,0.0,1260,1200
15.5,7.8,23.6,0.0,1260,1260
16.2,8.0,24.1,0.0,1260,1260
18.4,12.3,24.9,7.4,1260,1260
18.3,13.6,23.2,0.7,1260,1260
14.8,10.3,19.1,11.6,1260,1260
11.8,7.7,17.0,1.3,1280,1260
14.3,7.0,20.8,0.0,1280,1280
17.7,9.4,24.6,0.0,1280,1280
15.8,14.1,18.6,23.9,1280,1280
16.2,13.0,20.8,16.8,1280,1280
14.8,11.4,18.9,3.0,1440,1280
13.4,9.1,18.6,0.2,1500,1440
15.1,9.2,21.8,0.0,1540,1500
16.7,9.9,23.5,0.1,1520,1540
15.9,13.4,18.5,15.7,1520,1520
17.2,13.4,22.4,6.5,1520,1520
19.0,12.0,26.4,0.0,1480,1520
22.0,14.8,28.9,0.1,1380,1480
22.3,20.1,24.8,7.3,1380,1380
22.4,19.3,26.0,21.2,1360,1380
17.4,13.4,21.8,11.5,1360,1360
15.5,10.9,20.6,0.4,1360,1360
15.4,9.3,21.5,0.4,1360,1360
16.1,10.2,21.9,0.0,1440,1360
17.4,11.9,23.6,7.1,1440,1440
17.9,12.5,23.9,13.9,1560,1440
18.6,9.7,26.3,0.0,1580,1560
19.4,12.1,26.8,1.0,1580,1580
19.7,12.1,27.5,4.7,1580,1580
19.5,14.3,25.1,1.9,1580,1580
20.1,15.0,25.7,3.0,1600,1580
21.2,16.8,26.6,2.5,1600,1600
20.5,16.6,25.6,3.4,1600,1600
19.3,14.1,25.5,0.1,1600,1600
21.7,13.9,29.5,0.0,1580,1600
22.8,15.3,30.6,0.0,1580,1580
22.2,15.4,29.8,0.0,1580,1580
22.0,15.7,28.2,0.1,1500,1580
21.1,17.6,26.0,3.3,1460,1500
22.1,16.6,28.8,0.0,1460,1460
22.8,17.2,29.6,0.0,1460,1460
22.1,17.5,27.7,0.0,1480,1460
21.0,17.1,26.0,1.1,1480,1480
19.5,17.0,23.2,1.6,1480,1480
18.3,16.3,21.5,11.4,1460,1480
19.2,15.7,24.2,1.7,1420,1460
20.2,16.0,25.3,0.5,1420,1420
20.3,17.3,24.7,4.9,1380,1420
19.7,16.1,24.4,1.6,1380,1380
19.5,14.6,25.5,0.0,1380,1380
20.7,14.6,26.9,0.0,1380,1380
23.0,17.6,29.4,0.0,1360,1380
21.2,17.9,25.5,6.6,1400,1360
22.3,17.7,28.0,0.3,1340,1400
22.9,17.6,29.3,0.0,1340,1340
23.5,16.5,30.7,0.7,1340,1340
23.5,18.9,29.4,0.2,1340,1340
25.1,18.7,32.3,0.0,1340,1340
25.0,18.6,32.0,0.0,1340,1340
23.2,20.2,26.3,27.9,1340,1340
24.1,21.4,28.2,32.6,1440,1340
22.7,20.4,25.6,46.6,1500,1440
24.0,20.5,28.9,4.6,1500,1500
22.9,20.3,26.3,21.2,1500,1500
22.7,20.0,26.1,62.8,1500,1500
23.6,21.2,26.6,40.0,1540,1500
24.5,22.0,28.2,16.3,1580,1540
25.4,21.9,30.5,15.6,1560,1580
23.4,21.6,26.7,13.5,1520,1560
21.6,19.7,23.9,7.2,1480,1520
21.1,17.7,25.5,1.3,1480,1480
20.7,17.3,24.6,0.3,1480,1480
20.3,18.8,22.0,12.7,1500,1480
24.1,20.0,28.5,8.7,1500,1500
26.1,22.7,30.3,8.1,1540,1500
27.1,23.2,31.7,0.3,1540,1540
27.5,23.8,32.3,0.4,1560,1540
27.6,23.4,32.8,0.0,1560,1560
27.9,23.2,33.5,0.0,1560,1560
27.9,22.9,33.5,0.0,1600,1560
27.7,23.0,33.0,0.0,1560,1600
27.5,22.7,33.2,0.0,1680,1560
27.8,22.8,33.8,0.0,1640,1680
28.4,22.7,34.9,0.0,1560,1640
29.1,23.8,35.1,0.3,1560,1560
29.1,24.3,34.6,0.0,1560,1560
29.3,25.1,34.6,3.1,1580,1560
29.4,24.7,34.9,0.1,1620,1580
29.3,25.5,34.3,0.2,1560,1620
